# 규격 통일 대상 단원 원장 — **지워지지 않는 목록이다.**
#
# 이 파일에서 줄을 빼지 마라. 끝난 일은 .pipeline/taskN/ 산출 파일의 존재로
# 판정한다. 앞 파이프라인은 큐에서 꺼내 버리는 방식이었고, 절전으로 죽은
# 작업 8건을 아무도 모르게 잃었다.
#
# 열: prio ⇥ subject ⇥ unitId ⇥ parent ⇥ title
#
# prio 1  본문이 이미 차 있는 과목 — 먼저 한다 (박 목사님 지시 2026-08-27)
# prio 2  공법 — 형식의 기준이지만 iframe·gz 구조라 통일 대상이다
# prio 3  세법 — 목차 4단계 분류는 이미 기준감이고 본문이 비어 있다
#
# 중개사법(brokerage-law)은 목차조차 없어 여기 없다. 목차를 세우는 일
# 자체가 한 과제이고, 그것이 끝나야 단원이 생긴다.
#
# 생성 2026-08-27 · 126단원
1	civil-law	p1s1	PART 1 민법총칙	POINT 01 · 권리의 변동
1	civil-law	p1s2	PART 1 민법총칙	POINT 02 · 법률행위
1	civil-law	p1s3	PART 1 민법총칙	POINT 03 · 의사표시
1	civil-law	p1s4	PART 1 민법총칙	POINT 04 · 법률행위의 대리
1	civil-law	p1s5	PART 1 민법총칙	POINT 05 · 무효와 취소
1	civil-law	p1s6	PART 1 민법총칙	POINT 06 · 조건과 기한
1	civil-law	p2s1	PART 2 물권법	POINT 01 · 물권의 의의
1	civil-law	p2s2	PART 2 물권법	POINT 02 · 물권의 변동
1	civil-law	p2s3	PART 2 물권법	POINT 03 · 점유권
1	civil-law	p2s4	PART 2 물권법	POINT 04 · 소유권
1	civil-law	p2s5	PART 2 물권법	POINT 05 · 용익물권
1	civil-law	p2s6	PART 2 물권법	POINT 06 · 담보물권
1	civil-law	p3s1	PART 3 계약법	POINT 01 · 계약의 성립
1	civil-law	p3s2	PART 3 계약법	POINT 02 · 계약의 효력
1	civil-law	p3s3	PART 3 계약법	POINT 03 · 계약의 해제·해지
1	civil-law	p3s4	PART 3 계약법	POINT 04 · 매매
1	civil-law	p3s5	PART 3 계약법	POINT 05 · 교환
1	civil-law	p3s6	PART 3 계약법	POINT 06 · 임대차
